index,year,url,title,take_explanation,take,series,publisher,path,pages,numpages,location,keywords,isbn,doi,booktitle,author,address,ENTRYTYPE,ID,articleno,volume,number,month,journal,issue_date,issn
0,2007,https://doi.org/10.1145/1281192.1281197,Efficient and Effective Explanation of Change in Hierarchical Summaries,"Different topic, about changes in OLAP queries.",No,KDD â07,Association for Computing Machinery,Hierarchical Forecasting\ACM Digital Library\scan.bib,6â15,10,"San Jose, California, USA","change, parsimonious explanations, OLAP, statistical model, hierarchical summary",9781595936097,10.1145/1281192.1281197,Proceedings of the 13th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,"Agarwal, Deepak and Barman, Dhiman and Gunopulos, Dimitrios and Young, Neal E. and Korn, Flip and Srivastava, Divesh","New York, NY, USA",inproceedings,10.1145/1281192.1281197,,,,,,,
1,2012,https://doi.org/10.1145/2351476.2351490,Sample-Based Forecasting Exploiting Hierarchical Time Series,"Focus on different area, reducing base forecasts.",No,IDEAS â12,Association for Computing Machinery,Hierarchical Forecasting\ACM Digital Library\scan.bib,120â129,10,"Prague, Czech Republic",,9781450312349,10.1145/2351476.2351490,Proceedings of the 16th International Database Engineering & Applications Sysmposium,"Fischer, Ulrike and Rosenthal, Frank and Lehner, Wolfgang","New York, NY, USA",inproceedings,10.1145/2351476.2351490,,,,,,,
2,2013,https://doi.org/10.1145/2484838.2484849,Forecasting in Hierarchical Environments,"Focus on different area, that is adoption of forecasting models, not reconciliation.",No,SSDBM,Association for Computing Machinery,Hierarchical Forecasting\ACM Digital Library\scan.bib,,4,"Baltimore, Maryland, USA","optimization, forecasting, hierarchy",9781450319218,10.1145/2484838.2484849,Proceedings of the 25th International Conference on Scientific and Statistical Database Management,"Lorenz, Robert and Dannecker, Lars and R\""{o}sch, Philipp and Lehner, Wolfgang and Hackenbroich, Gregor and Schlegel, Benjamin","New York, NY, USA",inproceedings,10.1145/2484838.2484849,37,,,,,,
3,2013,https://doi.org/10.1145/2505515.2505622,Efficient Forecasting for Hierarchical Time Series,"Focus on different area, that is adoption of forecasting models, not reconciliation.",No,CIKM â13,Association for Computing Machinery,Hierarchical Forecasting\ACM Digital Library\scan.bib,2399â2404,6,"San Francisco, California, USA","time series, optimization, hierarchies, forecasting",9781450322638,10.1145/2505515.2505622,Proceedings of the 22nd ACM International Conference on Information & Knowledge Management,"Dannecker, Lars and Lorenz, Robert and R\""{o}sch, Philipp and Lehner, Wolfgang and Hackenbroich, Gregor","New York, NY, USA",inproceedings,10.1145/2505515.2505622,,,,,,,
4,2015,https://doi.org/10.1145/2757279,Accurate Analysis and Prediction of Enterprise Service-Level Performance,"Focus on different area, that is adoption of forecasting models, not reconciliation.",No,,Association for Computing Machinery,Hierarchical Forecasting\ACM Digital Library\scan.bib,,23,,"Machine learning, optimization, prediction",,10.1145/2757279,,"Duan, Qing and Koneru, Abhishek and Zeng, Jun and Chakrabarty, Krishnendu and Dispoto, Gary","New York, NY, USA",article,10.1145/2757279,52,20,4,sep,ACM Trans. Des. Autom. Electron. Syst.,September 2015,1084-4309
5,2017,https://doi.org/10.1145/3097983.3098030,Tracking the Dynamics in Crowdfunding,Focus on different application.,No,KDD â17,Association for Computing Machinery,Hierarchical Forecasting\ACM Digital Library\scan.bib,625â634,10,"Halifax, NS, Canada","dynamics, hierarchical time series, crowdfunding",9781450348874,10.1145/3097983.3098030,Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,"Zhao, Hongke and Zhang, Hefu and Ge, Yong and Liu, Qi and Chen, Enhong and Li, Huayu and Wu, Le","New York, NY, USA",inproceedings,10.1145/3097983.3098030,,,,,,,
6,2018,https://doi.org/10.1145/3209978.3210069,A Flexible Forecasting Framework for Hierarchical Time Series with Seasonal Patterns: A Case Study of Web Traffic,Methodology and framework.,Yes,SIGIR â18,Association for Computing Machinery,Hierarchical Forecasting\ACM Digital Library\scan.bib,889â892,4,"Ann Arbor, MI, USA","forecasting, multivariate time series",9781450356572,10.1145/3209978.3210069,The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval,"Liu, Zitao and Yan, Yan and Hauskrecht, Milos","New York, NY, USA",inproceedings,10.1145/3209978.3210069,,,,,,,
7,2018,https://doi.org/10.1145/3231622.3231626,PedaViz: Visualising Hour-Level Pedestrian Activity,"Different topic, about visualisation.",No,VINCI â18,Association for Computing Machinery,Hierarchical Forecasting\ACM Digital Library\scan.bib,9â16,8,"V\""{a}xj\""{o}, Sweden","urban data, visual design, Spatio-Temporal data, application study",9781450365017,10.1145/3231622.3231626,Proceedings of the 11th International Symposium on Visual Information Communication and Interaction,"Obie, Humphrey O. and Chua, Caslon and Avazpour, Iman and Abdelrazek, Mohamed and Grundy, John and Bednarz, Tomasz","New York, NY, USA",inproceedings,10.1145/3231622.3231626,,,,,,,
8,2019,https://doi.org/10.1145/3292500.3330976,Regularized Regression for Hierarchical Forecasting Without Unbiasedness Conditions,Theoretical and methodological contribution. About reconciliation with biased base forecasts.,Yes,KDD â19,Association for Computing Machinery,Hierarchical Forecasting\ACM Digital Library\scan.bib,1337â1347,11,"Anchorage, AK, USA","regularization, time series, sparsity, hierarchical forecasting",9781450362016,10.1145/3292500.3330976,Proceedings of the 25th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,"Ben Taieb, Souhaib and Koo, Bonsoo","New York, NY, USA",inproceedings,10.1145/3292500.3330976,,,,,,,
